Unnamed: 0,RecordID,RID,Squib,ReactionOrder,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3,Temperature,Reaction Order
26520,41990.0,18059.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E9A5F20BDDC00E426632C7058713F57D?id=1952HOW25-31:2,1.0,1,13,-292669,CH2ClCH2Cl,,,CH2CH2Cl,[None],,635,1.0
26536,42008.0,18062.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=41B1E6134601DB93A4EFB5C55329D6FD?id=1949BAR/HOW155-164:1,1.0,1,13,-300984,CH2ClCH2Cl,,,C2H4,[None],,635,1.0
26537,42009.0,18062.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=41B1E6134601DB93A4EFB5C55329D6FD?id=2007MOU/SAH279-298:4,1.0,1.6,15,-414300,CH2ClCH2Cl,,,C2H4,[None],,849,1.0
26538,42010.0,18062.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=41B1E6134601DB93A4EFB5C55329D6FD?id=2002ZHU/BOZ65-72:1,1.0,4.7,13,-390786,CH2ClCH2Cl,,,C2H4,[None],,300,1.0
26539,42011.0,18062.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=41B1E6134601DB93A4EFB5C55329D6FD?id=2002ZHU/BOZ65-72:2,1.0,1.23,13,-412124,CH2ClCH2Cl,,,C2H4,[None],,300,1.0
26543,42034.0,18073.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A1BA810073565B83074D52208A32D24B?id=1972KER/PARB:95,2.0,3.55,-13,,CH2=CHCH2Cl,[None],,[None],,,"302
 
K",2.0
26544,42035.0,18073.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=A1BA810073565B83074D52208A32D24B?id=1966CAL/TYE2760-2767:7,2.0,9.2,-2,,CH2=CHCH2Cl,[None],,[None],,,"302
 
K",2.0
26545,42036.0,18074.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=27E673E1F0B06811EE65E054E843499A?id=1966FRI/GOW42-43:1,2.0,4.53,-12,,CH2=CHCH2Cl,[None],,(.)CH2CH=CH2,[None],,"520
 
K",2.0
26546,42037.0,18074.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=27E673E1F0B06811EE65E054E843499A?id=1944EVA/WAL384:4,2.0,5.81,-12,,CH2=CHCH2Cl,[None],,(.)CH2CH=CH2,[None],,"533
 
K",2.0
26561,42108.0,18098.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=8FCA9D5C1590FC01A49E06CD16535FC9?id=2013YAN/MIA161-167:3,2.0,2.77,-11,-292426,CH2=CHCHO,O3,,[None],,,200,2.0
26564,42112.0,18101.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=00C6C4985616A23D6B3EAAD6EAC6C5D2?id=2002ORL/TYN12252-12259:11,2.0,6,-12,,CH2=CHCHO,(.)OH,,[None],,,,2.0
26568,42126.0,18108.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D96AFC8C2BBA421E65580B9830F101B3?id=1987VAN/TYB1063:2,2.0,1.69,-15,-83976,CH2=CHCHO,['C1=CC=CCC1'],,[None],,,379,2.0
26569,42127.0,18108.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D96AFC8C2BBA421E65580B9830F101B3?id=1976HUY/PAT641:2,2.0,5.38,-16,-86471,CH2=CHCHO,['C1=CC=CCC1'],,[None],,,486,2.0
26570,42128.0,18109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CB8CFB64577477572904630C812EEB5C?id=1987VAN/TYB1063:1,2.0,1,-15,-87302,CH2=CHCHO,['C1=CC=CCC1'],,[None],,,379,2.0
26571,42129.0,18109.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=CB8CFB64577477572904630C812EEB5C?id=1976HUY/PAT641:1,2.0,7.42,-16,-81482,CH2=CHCHO,['C1=CC=CCC1'],,[None],,,486,2.0
26572,42130.0,18110.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C26277C8EBD72DBE52030F2F0C421938?id=1936KIS/LAC123-133:4,2.0,2.49,-15,-63606,CH2=CHCHO,['C1=CC=CC1'],,['C12C(CC(C=C1)C2)C=O'],,,351,2.0
26573,42135.0,18113.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=AF1825657B21A08F20E303ED8CCD66CE?id=1985DOM/BOZ177:9,2.0,2.69,-1,34921,CH3CH=CHCH3,(.)CH2CH=CHCH3,,['C=CC=C'],[None],,779,2.0
26575,42137.0,18115.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=74BA074D4031F6B7AF7792B0CA08924D?id=1987DIC/NAR2596:2,2.0,1.05,-9,,CH3CH=CHCH3,SiH2,,['CC1[SiH2]C1C'],,,643,2.0
26576,42138.0,18116.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=FAC1849637922C2EBDC45F7543444E2D?id=1985DOM/BOZ177:8,2.0,,,-10310,CH3CH=CHCH3,H(.),,[None],,,779,2.0
26578,42140.0,18118.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D46B25D78991A63233828A364BCB5899?id=1964ABE2214-2223:6,2.0,1.5,-1,160469,CH3CH=CHCH3,HBr,,[None],,,313,2.0
26579,42141.0,18119.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=72D252B7BB19EE9CD1338DB5D0A277AB?id=1964NAN/BEN530-537:2,2.0,3.02,-15,-88133,CH3CH=CHCH3,HI,,[None],,,565,2.0
26580,42142.0,18119.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=72D252B7BB19EE9CD1338DB5D0A277AB?id=1964NAN/BEN530-537:1,2.0,2.14,-16,-6269,CH3CH=CHCH3,HI,,[None],,,565,2.0
26581,42143.0,18120.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=65EDA5FCB0D08378F733D9DCE207D784?id=2004KRI597-601:1,2.0,,,-10000,CH3CH=CHCH3,O3,,[None],,,,2.0
26582,42144.0,18121.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=049A23E6262EEFE3D6B0101153E1D8A3?id=1972KER/PARB:94,2.0,2.62,-15,,CH3CH=CHCH3,CH3S(.),,[None],,,"298
 
K",2.0
26583,42145.0,18121.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=049A23E6262EEFE3D6B0101153E1D8A3?id=1964GRA/MIE2239-2249:2,2.0,3.32,-14,,CH3CH=CHCH3,CH3S(.),,[None],,,"298
 
K",2.0
26584,42146.0,18122.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=286DC347AC0933EEEC8E3F78CB364D83?id=1973ATK/FIN7592:1,2.0,1.66,-14,,CH3CH=CHCH3,HO2,,[None],,,"298
 
K",2.0
26586,42156.0,18131.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=D476D2338BC635A2B0BDF5A7E22A51C6?id=1985DOM/BOZ177:5,2.0,,,2170,CH3CH=CHCH3,2-C3H7,,CH3CH=CH2,[None],,779,2.0
26595,42174.0,18145.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=76B19FA9B32D83067EC408149430B9AA?id=1985SAF/RUZ71:3,2.0,1.31,-12,,['C#CCC'],[None],,[None],,,"298
 
K",2.0
26613,42218.0,18175.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0D1E61404C687521EB4004EBB11567A2?id=1995HID/HIG321-330:1,1.0,2.5,13,-271883,['C#CCC'],,,['C=C=CC'],,,1100,1.0
26614,42219.0,18175.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=0D1E61404C687521EB4004EBB11567A2?id=1993HID/HIG10977-10983:3,1.0,2.5,13,-271883,['C#CCC'],,,['C=C=CC'],,,1100,1.0
26616,42250.0,18190.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=87ECF9D69BE417CE53A417CAC5D51A8F?id=1936KIS/LAC123-133:3,2.0,1.49,-15,-92291,['C=CC=C'],(Z)-CH3CH=CHCHO,,['CC1CC=CCC1C=O'],,,515,2.0
26618,42252.0,18192.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=B2BEEED0445335EF623FCA25624E923D?id=1986KON/GAS151:1,2.0,1.66,-15,,['C=CC=C'],SiF2,,['F[Si]1(CC=CC1)F'],,,"973
 
K",2.0
26619,42254.0,18194.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3D7BA35AE714D24C2BFA9832789B14E6?id=1986ROG/ONE1467-1473:1,2.0,3.69,2,-24445,['C=CC=C'],SiH2,,['[SiH2]1CC=CC1'],,,696,2.0
26620,42255.0,18194.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3D7BA35AE714D24C2BFA9832789B14E6?id=1986ROG/ONE1467-1473:2,2.0,,,-2977,['C=CC=C'],SiH2,,['[SiH2]1CC=CC1'],,,603,2.0
26621,42256.0,18194.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3D7BA35AE714D24C2BFA9832789B14E6?id=1982DZA/RIC1217:1,2.0,3,-1,,['C=CC=C'],SiH2,,['[SiH2]1CC=CC1'],,,"930
 
K",2.0
26627,42274.0,18208.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=588787BB217D96ACE1DE6727025634AF?id=1974SAM/SMI51:2,2.0,4.5,2,,['C=CC=C'],H(.),,[None],,,"298
 
K",2.0
26628,42275.0,18208.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=588787BB217D96ACE1DE6727025634AF?id=1961JEN/CVE1233-1240:5,2.0,3.66,3,,['C=CC=C'],H(.),,[None],,,"296
 
K",2.0
26634,42315.0,18217.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=3F1CBAF1C6E17CAF9913F14A3DDABF5E?id=2000KRA/PAU35-43:2,2.0,3.1,-2,,['C=CC=C'],O3,,[None],['C(=C)C1OC1'],,"296
 
K",2.0
26636,42323.0,18220.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E17B3A3EF917464A9BCD192B632F8CC9?id=1972KER/PARB:90,2.0,8.72,-11,-3683,['C=CC=C'],[None],,[None],,,302,2.0
26637,42324.0,18220.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E17B3A3EF917464A9BCD192B632F8CC9?id=1966CAL/TYE2760-2767:5,2.0,8.8,-11,-3675,['C=CC=C'],[None],,[None],,,302,2.0
26638,42325.0,18220.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E17B3A3EF917464A9BCD192B632F8CC9?id=1966CAL/TYE2760-2767:6,2.0,,,8073,['C=CC=C'],[None],,[None],,,302,2.0
26639,42326.0,18221.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C1A300F71652AD12FAE681A49060118C?id=1972KER/PARB:89,2.0,1,-10,,['C=CC=C'],S,,['C(=C)C1SC1'],,,"298
 
K",2.0
26640,42327.0,18221.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=C1A300F71652AD12FAE681A49060118C?id=1971STR/OCA559:7,2.0,,,8564,['C=CC=C'],S,,['C(=C)C1SC1'],,,298,2.0
26641,42345.0,18231.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=413C45D81B05D5AB1F0B50560ECC267D?id=1984DAV/SCA249:2,2.0,1.66,-14,-9977,['C=CC=C'],CH2=CHSiH3,,[None],,,760,2.0
26642,42346.0,18232.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=58E37C03F14B2248E0C455476CA67F0C?id=1987BAL/WEI4804:2,2.0,4.5,-13,2503,['C=CC=C'],CH3S(.),,[None],,,296,2.0
26643,42347.0,18232.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=58E37C03F14B2248E0C455476CA67F0C?id=1964GRA/MIE2239-2249:1,2.0,7.47,-13,,['C=CC=C'],CH3S(.),,[None],,,"298
 
K",2.0
26645,42350.0,18235.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=1A0A7460B1ABF3D38F215FCE1475F8B9?id=1984DAV/SCA249:1,2.0,5.25,-12,-11973,['C=CC=C'],(CH3)2Si,,[None],,,760,2.0
26646,42351.0,18236.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DE1606EB70986C86382F07E2134B5AE9?id=1988BAG/BLI515:6,2.0,7.46,-11,,['C=CC=C'],(CH3)2Si,,[None],,,"298
 
K",2.0
26647,42352.0,18236.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=DE1606EB70986C86382F07E2134B5AE9?id=1988CLA/DAV2076:1,2.0,8.32,-14,,['C=CC=C'],(CH3)2Si,,[None],,,882,2.0
26648,42356.0,18240.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E5911A6E44611D3BE9B6F27AD8527447?id=2004FRA/ALV2237-2244:17,2.0,2.51,-11,,['C=CC=C'],(.)OH,,[None],,,"298
 
K",2.0
26650,42373.0,18243.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7758792FABF35A0EE054C7B6E9925EBF?id=2008VIM/PAC7227-7237:2,2.0,6.98,-11,,['C=CC=C'],(.)OH,,[None],,,"300
 
K",2.0
26651,42374.0,18243.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=7758792FABF35A0EE054C7B6E9925EBF?id=2008VIM/PAC7227-7237:1,2.0,7.23,-12,5521,['C=CC=C'],(.)OH,,[None],,,263,2.0
26652,42378.0,18246.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=77079D8A793DDA28187FD096FEF712DA?id=2004CAV/FAS705-720:1,2.0,6.97,-11,-5439,['C=CC=C'],C2H3,,[None],,,500,2.0
26653,42379.0,18247.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=43AE2928646547973E745598ECD07DC7?id=1989WES/DEA8171-8180:15,2.0,5.36,-14,-16712,['C=CC=C'],C2H3,,[None],,,400,2.0
26656,42382.0,18250.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E28DA0C705E212AB220EA34A0B886933?id=1989WES/DEA8171-8180:11,2.0,9.3,-13,-13553,['C=CC=C'],C2H3,,[None],,,400,2.0
26657,42383.0,18250.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=E28DA0C705E212AB220EA34A0B886933?id=1984WEI/BEN307-333:9,2.0,5.25,-13,-12555,['C=CC=C'],C2H3,,[None],,,1260,2.0
26658,42390.0,18253.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=39F1549D6CD010315073333EDF627224?id=2004FAS/CAV3829-3843:28,2.0,1.91,-11,-44936,['C=CC=C'],[None],,[None],,,500,2.0
26659,42393.0,18254.0,http://kinetics.nist.gov/kinetics/Detail;jsessionid=5E041A8CA5DCA935F7246DFBD7EBFBA4?id=2004FAS/CAV3829-3843:33,2.0,7.58,-10,-106813,['C=CC=C'],[None],,H(.),[None],,500,2.0
