ID,Pre-Exp Factor Coeff,Pre-Exp Factor Power,Activation Energy,Reactant 1,Reactant 2,Reactant 3,Product 1,Product 2,Product 3
980,4.83,8,-161301,['C(\\C=C\\C)C=1NC=CC1'],,,['CC(C=C)C1=CNC=C1'],,
981,1.18,8,-145503,['C(\\C=C\\C)C=1NC=CC1'],,,['CC(C=C)C=1NC=CC1'],,
982,7.36,8,-168784,['C(\\C=C\\C)C=1NC=CC1'],,,['CC(C=C)C=1NC=CC1'],,
983,7.23,8,-173772,['CC(C=C)C=1NC=CC1'],,,['C(\\C=C/C)C1=CNC=C1'],,
984,1.82,10,-178761,['CC(C=C)C=1NC=CC1'],,,['C(\\C=C\\C)C1=CNC=C1'],,
985,4.39,8,-157144,['CC(C=C)C=1NC=CC1'],,,['C(\\C=C\\C)C1=CNC=C1'],,
986,8.75,7,-143840,['CC(C=C)C=1NC=CC1'],,,['C(\\C=C/C)C=1NC=CC1'],,
987,2.45,8,-139683,['CC(C=C)C=1NC=CC1'],,,['C(\\C=C\\C)C=1NC=CC1'],,
988,7.41,9,-185413,['C(\\C=C/C)N1C=CC=C1'],,,['CC(C=C)C1=CNC=C1'],,
989,1.07,12,-207862,['C(\\C=C/C)N1C=CC=C1'],,,['C(\\C=C/C)C=1NC=CC1'],,
990,2.09,9,-168784,['C(\\C=C\\C)N1C=CC=C1'],,,['CC(C=C)C1=CNC=C1'],,
991,6.79,11,-202042,['C(\\C=C\\C)N1C=CC=C1'],,,['C(\\C=C\\C)C=1NC=CC1'],,
992,3.86,9,-176267,['CC(C=C)N1C=CC=C1'],,,['C(\\C=C/C)C1=CNC=C1'],,
993,1.8,9,-162132,['CC(C=C)N1C=CC=C1'],,,['C(\\C=C\\C)C1=CNC=C1'],,
994,5.09,10,-186244,['CC(C=C)N1C=CC=C1'],,,['CC(C=C)C=1NC=CC1'],,
1020,1.0,16,-268557,[None],,,[None],,
1024,1.12,14,-199547,[None],,,['C(C)C1N=CCC1'],,
1025,1.58,11,-172110,['ClC=1C=C(C(=O)NC(C)(C)C)C=CC1'],,,['C=C(C)C'],['ClC=1C=C(C(=O)N)C=CC1'],
1029,2.14,10,-130537,[None],,,[None],['C1=CC=CC1'],[None]
1047,1.8,12,-156900,['C(C)C1=CC1'],,,['CC1=CC1C'],,
1048,1.82,12,-157144,['C(C)C1=CC1'],,,['CC1=CC1C'],,
1064,5.0,13,-213900,[None],,,['C[C@H](CCC=C)C=C(C)C'],,
1065,5.0,13,-213400,[None],,,['CC(C=C)CCC=C(C)C'],,
1066,7.9,11,-201000,[None],,,['CC1=CC[C@@H](CC1)C(C)C'],,
1070,1.26,13,-241951,['C1C=CC2=CCC=C12'],,,['C=CC1=CC=CC=C1'],,
1080,7.94,12,-162964,['COC1=CC=C(C=C1)CC(=O)OC(C)(C)C'],,,['COC1=CC=C(C=C1)CC(=O)O'],['C=C(C)C'],
1081,1.66,13,-166289,[None],,,['C=C(C)C'],['C1(=CC=C(C=C1)CC(=O)O)C'],
1082,5.37,12,-158806,['ClC1=CC=C(C=C1)CC(=O)OC(C)(C)C'],,,['C=C(C)C'],['ClC1=CC=C(C=C1)CC(=O)O'],
1088,2.1,12,-112245,[None],,,['C1CC=2C1=CC=CC2'],,
1108,3.31,14,-225322,[None],,,['CC1C(CC1)=C'],,
1109,2.4,14,-225322,[None],,,['CC1CC(C1)=C'],,
1110,1.38,14,-225322,[None],,,['C(C)=C1CCC1'],,
1128,5.01,12,-171278,['C123CCCCC1(CC2)CC3'],,,['C=C1CCC(CCCC1)=C'],,
1129,1.0,15,-185413,[None],,,['C=C1C2CCC(C(CC1)=C)C2'],,
1137,1.58,14,-172941,[None],,,[None],,
1143,2.82,14,-161301,[None],,,[None],,
1155,2.63,13,-163795,[None],,,['[N+](=O)([O-])C1=CC=C(C=C1)CC(=O)O'],['C=C(C)C'],
1196,1.26,14,-253591,[None],,,[None],[None],
1286,7.75,9,-228028,['CC(CC#C)=O'],,,['CC=1OC=CC1'],,
1303,3.98,11,-192064,['C1(=CC=CC=C1)\\C=C/C#N'],,,['C1(=CC=CC=C1)/C=C/C#N'],,
1304,2.4,10,-134694,[None],,,['C1=CC=CC1'],[None],
1307,2.04,16,-272715,['CC1(CC(C1)(C)C)C'],,,['C=C(C)C'],['C=C(C)C'],
1309,1.2,12,-439738,['C1(C=CC=CC1)=O'],,,['C1(C=CCC=C1)=O'],,
1310,2.07,42,-696218,['C1(C=CC=CC1)=O'],,,['C1(C=CCC=C1)=O'],,
1311,5.97,12,-212900,['C1(C=CC=CC1)=O'],,,['C1(=CC=CC=C1)O'],,
1312,1.04,12,-213802,['C1(C=CC=CC1)=O'],,,['C1(=CC=CC=C1)O'],,
1315,3.09,13,-161509,['C1(C=CC=CC1)=O'],,,['C12C=CCC2C1=O'],,
1317,3.3,34,-502917,['C1(C=CC=CC1)=O'],,,[None],,
